,district,metro,area,rooms,floor,gk,price,adress
0,2.87,1.0,70.0,2.0,18.0,1.0,33000.0,"Евгения Коновальца ул. (Щорса), 44а, Печерский р-н"
1,2.87,1.0,96.0,2.0,10.0,0.0,35750.0,"Михаила Омеляновича-Павленка ул. (Суворова), Печерский р-н"
2,1.0,3.0,34.0,1.0,8.0,0.0,6000.0,"Шолом-Алейхема ул., 15"
3,2.87,1.0,127.0,3.0,4.0,0.0,20625.0,"Е. Коновальца ул. (Щорса), 32-г, Печерский р-н"
4,2.87,1.0,120.0,3.0,5.0,1.0,95975.0,"Драгомирова ул., 20, Печерский р-н"
5,1.19,3.0,30.0,1.0,5.0,0.0,4300.0,"Волынская , 69, Соломенский р-н"
6,1.74,1.0,100.0,3.0,11.0,1.0,27500.0,"Жилянская ул., 118, Шевченковский р-н"
7,1.53,1.0,90.0,3.0,12.0,0.0,77000.0,"Антоновича ул. (Горького), 44, Голосеевский р-н"
9,1.18,3.0,34.0,1.0,6.0,0.0,7500.0,"Киприанова академика ул., 4, Святошинский р-н"
10,1.74,1.0,90.0,3.0,10.0,0.0,30250.0,"Тургеневская ул., 29-33, Шевченковский р-н"
11,1.29,3.0,51.0,1.0,8.0,1.0,11500.0,"Вышгородская ул., 45, Подольский р-н"
12,1.12,3.0,43.0,1.0,7.0,0.0,9000.0,"Чавдар Елизаветы ул., 34, Дарницкий р-н"
13,1.22,1.0,40.0,1.0,5.0,0.0,13000.0,"Оболонский просп., 40, Оболонский р-н"
14,1.53,1.0,60.0,2.0,13.0,0.0,27500.0,"Голосеевский просп. (40-летия Октября), 60, Голосеевский р-н"
16,1.74,1.0,200.0,5.0,7.0,0.0,57750.0,"Дмитриевская ул., 9-11, Шевченковский р-н"
17,1.19,3.0,46.0,1.0,10.0,0.0,12000.0,"Гонгадзе Георгия ул. (Машиностроительная), 21, Соломенский р-н"
18,1.19,3.0,150.0,3.0,6.0,0.0,68750.0,"Окипной Раисы ул., 18, Днепровский р-н"
19,1.18,1.0,36.0,1.0,8.0,0.0,6000.0,"Юры Гната ул., 1, Святошинский р-н"
20,2.87,1.0,86.0,3.0,10.0,1.0,55000.0,"Джона Маккейна ул. (Кудри Ивана), 3а, Печерский р-н"
21,1.19,3.0,65.0,3.0,15.0,0.0,18500.0,"Гарматная ул., 37а, Соломенский р-н"
22,1.12,1.0,53.0,2.0,1.0,0.0,10000.0,"Вербицкого архитектора ул., 36, Дарницкий р-н"
23,1.18,3.0,45.0,2.0,1.0,0.0,7999.0,"Семьи Сосниных ул., Святошинский р-н"
24,1.12,1.0,55.0,1.0,16.0,0.0,11000.0,"Ревуцкого ул., 9, Дарницкий р-н"
25,1.19,1.0,65.0,2.0,14.0,1.0,18500.0,"Гарматная ул., 37А, Соломенский р-н"
26,1.12,1.0,56.0,2.0,3.0,0.0,10900.0,"Вербицкого архитектора ул., 36б, Дарницкий р-н"
27,1.74,1.0,47.0,1.0,4.0,0.0,31625.0,"Победы просп., 42, Шевченковский р-н"
28,1.19,3.0,80.0,2.0,9.0,0.0,19000.0,"Волгоградская ул., 5, Соломенский р-н"
29,1.74,1.0,54.0,1.0,2.0,0.0,24000.0,"Костельная ул., 7, Шевченковский р-н"
30,1.19,1.0,50.0,2.0,5.0,0.0,10000.0,"Никольско-Слободская ул., 1/2, Днепровский р-н"
31,1.53,1.0,40.0,1.0,12.0,0.0,11000.0,"Ломоносова ул., 50/2, Голосеевский р-н"
32,2.87,1.0,30.0,1.0,7.0,0.0,12000.0,"Кловский спуск, 20, Печерский р-н"
33,1.12,1.0,51.0,2.0,21.0,1.0,17000.0,"Заречная ул., 2, Дарницкий р-н"
34,1.12,3.0,54.0,2.0,6.0,0.0,13000.0,"Княжий Затон ул., 5, Дарницкий р-н"
35,2.87,1.0,74.0,2.0,18.0,1.0,38500.0,"Василия Тютюнника ул. (Барбюса Анри), 28а, Печерский р-н"
36,1.53,3.0,84.0,3.0,3.0,0.0,23500.0,"Васильковская ул., 15, Голосеевский р-н"
37,1.19,1.0,35.0,1.0,20.0,0.0,12000.0,"Юрия Поправки ул. (Николая Лебедева), 14, Днепровский р-н"
38,1.18,3.0,34.0,1.0,6.0,0.0,7500.0,"Киприанова академика ул., 4, Святошинский р-н"
39,1.19,3.0,47.0,2.0,5.0,0.0,9990.0,"Донца Михаила ул., 23а, Соломенский р-н"
41,2.87,1.0,157.0,3.0,19.0,1.0,45375.0,"Евгения Коновальца ул. (Щорса), 44А, Печерский р-н"
42,2.87,1.0,45.0,2.0,22.0,0.0,30250.0,"Бендукидзе Кахи ул., 2, Печерский р-н"
43,1.53,3.0,34.0,1.0,4.0,0.0,8000.0,"Голосеевский просп. (40-летия Октября), 126 к3, Голосеевский р-н"
44,2.87,1.0,38.0,1.0,3.0,0.0,10000.0,"Неманская ул., 2, Печерский р-н"
45,1.53,3.0,79.0,3.0,2.0,1.0,16500.0,"Вильямса академика ул., 9, Голосеевский р-н"
46,1.29,3.0,45.0,2.0,5.0,0.0,7500.0,"Выговского, 18, Подольский р-н"
47,1.18,3.0,45.0,2.0,2.0,0.0,7000.0,"Королева академика ул., 10б, Святошинский р-н"
48,1.0,3.0,45.0,2.0,8.0,0.0,8000.0,"Кубанской Украины ул. (Жукова маршала), 45 в, Деснянский р-н"
49,1.74,1.0,120.0,4.0,3.0,0.0,41250.0,"пер.тараса шевченко, 13, Шевченковский р-н"
50,1.19,1.0,35.0,1.0,6.0,0.0,8500.0,"Тычины Павла просп., 9, Днепровский р-н"
51,1.53,1.0,61.0,2.0,14.0,1.0,44000.0,"Голосеевский просп. (40-летия Октября), 58а, Голосеевский р-н"
52,1.53,1.0,62.0,2.0,9.0,1.0,39875.0,"Саксаганского, 37к, Голосеевский р-н"
53,1.74,1.0,140.0,3.0,4.0,1.0,93500.0,"Глубочицкая ул., 32а, Шевченковский р-н"
54,1.19,1.0,56.0,2.0,9.0,0.0,7000.0,"Березняковская ул., 22, Днепровский р-н"
55,1.12,1.0,24.0,1.0,19.0,0.0,8500.0,"Харьковское шоссе, 188, Дарницкий р-н"
