district,metro,area,rooms,floor,gk,price,adress
1.53,1,60.0,2,4,1,42900,"
ул. Саксаганского, 37к, Киев
"
1.19,3,54.0,1,4,0,12000,"
ул. Смилянская, 10/31, Киев
"
1.12,1,50.0,1,4,1,17400,"
ул. Осокорская, 2а, Киев
"
1.18,1,56.0,1,4,0,12000,"
ул. Осенняя, 33, Киев
"
1.19,1,100.0,3,10,1,69100,"
ул. Окипной Раиcы, 18, Киев
"
1.12,3,48.0,1,15,0,9500,"
Харьковское шоссе, 56, Киев
"
2.87,1,55.0,2,5,0,30400,"
ул. Дарвина, 8, Киев
"
1.53,3,50.0,1,4,1,24000,"
ул. Луценко Дмитрия, 12, Киев
"
1.53,1,80.0,2,10,1,25000,"
ул. Ломоносова, 73г, Киев
"
2.87,1,52.0,1,4,0,28000,"
ул. Бойчука Михаила (Киквидзе), 41, Киев
"
1.19,1,60.0,3,3,0,14000,"
ул. Красноткацкая, 22, Киев
"
1.12,3,76.0,2,4,0,14000,"
ул. Драгоманова, 1а, Киев
"
1.19,3,51.0,2,4,0,12000,"
ул. Озерная (Соломенка), 5, Киев
"
1.19,3,36.0,1,4,0,7000,"
ул. Радужная, 54, Киев
"
1.12,3,50.0,1,4,0,10000,"
Григоренко Петра просп., 22/20, Киев
"
1.29,3,48.0,2,4,1,24900,"
ул. Набережно-Рыбальская, 3, Киев
"
1.18,3,110.0,3,4,0,25000,"
Победы просп., 73/1, Киев
"
1.0,3,44.0,2,4,0,9000,"
Лесной просп., 43, Киев
"
2.87,1,118.0,3,4,0,71900,"
ул. Старонаводницкая, 6б, Киев
"
2.87,1,150.0,3,4,1,138000,"
ул. Институтская, 18а, Киев
"
1.22,1,34.0,1,16,0,11500,"
Дружбы Народов пл., Киев
"
2.87,1,57.0,2,6,0,23500,"
ул. Дарвина, 4, Киев
"
1.18,3,41.0,1,15,0,10000,"
ул. Верховинца Василия, 10, Киев
"
2.87,1,44.0,2,4,0,15500,"
ул. Чигорина, Киев
"
1.19,1,88.0,1,4,0,60800,"
ул. Гетьмана Вадима (Индустриальная), 8/26, Киев
"
1.53,1,55.0,1,4,0,30400,"
ул. Паньковская, 20/82, Киев
"
1.19,3,48.0,1,20,1,15000,"
ул. Жмаченко Генерала, 28б, Киев
"
1.22,3,44.0,1,14,1,11000,"
ул. Калнишевского Петра (Майорова М.), 8, Киев
"
1.19,1,48.0,1,4,0,9500,"
ул. Красноткацкая, 18б, Киев
"
1.18,3,65.0,2,4,1,12500,"
ул. Клавдиевская, 40д, Киев
"
1.18,1,55.0,2,5,0,12000,"
ул. Семашко, Киев
"
1.12,3,56.0,2,9,0,11000,"
ул. Ревуцкого, 13, Киев
"
1.22,3,39.0,1,4,1,10500,"
ул. Калнишевского Петра (Майорова М.), 6, Киев
"
1.74,1,45.0,1,4,1,19500,"
ул. Глубочицкая, 13, Киев
"
1.53,1,42.0,1,4,0,10000,"
ул. Антоновича (Горького), 157, Киев
"
1.18,1,65.0,2,4,0,13000,"
Вернадского Академика бульв., 81, Киев
"
1.74,3,54.0,2,4,1,27600,"
ул. Черновола Вячеслава, 27, Киев
"
1.29,1,106.0,3,4,0,27700,"
ул. Туровская, 29, Киев
"
1.12,1,85.0,2,4,0,15000,"
ул. Гмыри Бориса, 2, Киев
"
1.74,1,34.0,1,4,0,14500,"
ул. Рейтарская, 2, Киев
"
1.29,1,95.0,3,4,0,26500,"
ул. Волошская, 50/38, Киев
"
2.87,1,105.0,3,4,1,33200,"
ул. Коновальца Евгения (Щорса), 44а, Киев
"
1.22,1,87.0,2,4,0,19000,"
ул. Тимошенко Маршала, 21, Киев
"
1.18,3,65.0,2,1,0,12500,"
Святошинская пл., 1, Киев
"
1.19,3,55.0,1,4,1,20000,"
ул. Липкивского Василия (Урицкого), 37б, Киев
"
1.19,3,96.0,2,4,1,27700,"
ул. Механизаторов, 2, Киев
"
