district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.19,1,85.0,2,4,0,30200,"
ул. Липкивского Василия (Урицкого), 18, Киев
","('50.4339983', '30.4843094')",0,3
1.22,3,40.0,1,4,0,10900,"
ул. Богатырская, 6а, Киев
","('50.5201598', '30.4849631')",0,1
1.22,1,40.0,1,4,1,9500,"
ул. Калнишевского Петра (Майорова М.), 8, Киев
","('50.5222776', '30.4663735')",0,1
1.29,3,50.0,2,4,0,25000,"
ул. Боричев Ток, 8, Киев
","('50.4594295', '30.5215163')",1,1
1.12,1,97.0,3,23,1,65900,"
ул. Днепровская наб., 14б, Киев
","('50.4017441', '30.614014')",0,1
2.87,3,130.0,3,4,0,38400,"
ул. Деловая (Димитрова), 2б, Киев
","('50.4300933', '30.5216232')",0,2
1.74,1,114.0,3,4,0,27500,"
ул. Черновола Вячеслава, 25, Киев
","('50.4530671', '30.4849137')",0,2
1.12,1,90.0,4,4,0,20000,"
ул. Драгоманова, 20, Киев
","('50.409313', '30.6379623')",0,1
2.87,3,115.0,3,4,0,27500,"
ул. Ковпака, 17, Киев
","('50.4172232', '30.5247632')",0,1
1.74,3,60.0,2,4,0,12500,"
ул. Багговутовская, 32, Киев
","('50.4699102', '30.4804564')",0,1
1.53,3,70.0,3,4,0,33000,"
ул. Саксаганского, 87, Киев
","('50.435735', '30.5096709')",0,2
1.74,3,170.0,4,4,1,102000,"
Шевченко Тараса бульв., 27б, Киев
","('50.4456275', '30.4976403')",0,2
1.74,3,160.0,4,4,1,102000,"
Шевченко Тараса бульв., 27б, Киев
","('50.4456275', '30.4976403')",0,2
2.87,1,100.0,3,4,1,22000,"
Дружбы Народов бульв., 14-16, Киев
","('50.413621', '30.5372004')",0,1
1.12,1,150.0,3,4,0,23300,"
ул. Драгоманова, 17, Киев
","('50.4093352', '30.6396455')",0,1
2.87,3,145.0,3,4,0,33000,"
ул. Предславинская, 31/11, Киев
","('50.4240684', '30.5214559')",0,2
1.74,3,160.0,4,4,1,110000,"
Победы просп., 42, Киев
","('50.4558211', '30.4521936')",0,1
1.53,3,36.0,1,4,0,8500,"
Науки просп., 16, Киев
","('50.4020697', '30.5264034')",0,1
1.12,1,41.0,1,4,0,10500,"
ул. Урловская, Киев
","('50.4099284', '30.6158676')",0,1
2.87,3,111.7,5,4,0,43900,"
ул. Деловая (Димитрова), 16, Киев
","('50.430352', '30.517372')",0,2
1.53,1,50.0,2,18,1,15500,"
ул. Вильямса Академика, 19/14, Киев
","('50.3843665', '30.4560308')",1,1
1.12,1,48.0,1,15,0,9000,"
Харьковское шоссе, 56, Киев
","('50.4242527', '30.6434615')",1,1
1.53,3,80.0,2,10,1,25000,"
ул. Ломоносова, 73г, Киев
","('50.3873111', '30.4713752')",1,1
2.87,3,65.0,3,4,0,20000,"
Леси Украинки бульв., 12, Киев
","('50.4348977', '30.5292593')",0,1
1.53,3,70.0,3,4,0,12000,"
Голосеевский проспект (40-летия Октября просп.), 15б, Киев
","('50.4031334', '30.5166686')",0,1
2.87,3,118.0,3,4,0,68600,"
ул. Старонаводницкая, 6б, Киев
","('50.4284434', '30.5462405')",0,1
1.53,3,228.0,7,4,0,165000,"
Толстого Льва пл., 11, Киев
","('50.4392224', '30.5159643')",0,2
1.19,1,42.0,2,2,0,6500,"
Перова бульв., Киев
","('50.4753597', '30.597028')",0,1
1.0,1,35.0,1,8,0,7000,"
ул. Милютенко, 28, Киев
","('50.4747913', '30.6296633')",0,1
1.12,1,37.0,1,5,0,7500,"
ул. Драгоманова, 7, Киев
","('50.4152075', '30.6368277')",0,1
1.18,1,28.0,1,7,0,8000,"
ул. Симиренко, 28, Киев
","('50.4077546', '30.4017653')",0,1
1.53,1,56.0,2,13,1,41200,"
ул. Жилянская, 68, Киев
","('50.436448', '30.5030229')",0,2
2.87,3,120.0,4,4,0,33000,"
ул. Богомольца Академика, 7/14, Киев
","('50.441249', '30.533111')",0,1
1.12,3,66.0,2,4,0,11000,"
ул. Вишняковская, 6а, Киев
","('50.3946295', '30.6510239')",0,1
1.19,1,62.0,2,4,0,15000,"
ул. Березняковская, 20, Киев
","('50.4283452', '30.6149146')",1,1
1.12,1,56.0,1,4,0,11500,"
ул. Ахматовой, 30, Киев
","('50.4082691', '30.6228009')",0,1
1.53,1,48.0,1,4,1,11000,"
ул. Луценко Дмитрия, 6, Киев
","('50.3861564', '30.4485145')",0,1
1.19,1,46.0,1,4,1,8500,"
Харьковское шоссе, 17а, Киев
","('50.4329436', '30.6338663')",0,1
1.19,3,72.0,2,4,0,16500,"
ул. Васильковая, 30, Киев
","('50.4282552', '30.4529175')",0,2
1.12,1,74.0,3,4,0,12500,"
ул. Ахматовой, 23, Киев
","('50.4085217', '30.6314234')",0,1
1.18,3,53.0,1,4,0,15000,"
ул. Осенняя, 33, Киев
","('50.4664072', '30.3481097')",0,1
1.74,3,45.0,1,4,1,28500,"
ул. Шолуденко, 1а, Киев
","('50.4506775', '30.4755514')",0,2
