district,metro,area,rooms,floor,gk,price,adress
2.87,3,118.0,3,4,0,67900,"
ул. Старонаводницкая, 6б, Киев
"
1.19,1,85.0,2,4,0,40800,"
ул. Липкивского Василия (Урицкого), 18, Киев
"
1.74,3,90.0,3,4,0,19000,"
ул. Дмитриевская, 82, Киев
"
1.53,3,228.0,7,4,0,163000,"
Толстого Льва пл., 11, Киев
"
1.53,3,39.0,1,3,0,14900,"
ул. Дубинина Володи, 7/14, Киев
"
1.53,1,33.0,1,4,0,11000,"
ул. Набережно-Корчеватская, 29, Киев
"
1.18,1,41.0,1,15,0,10000,"
ул. Верховинца Василия, 10, Киев
"
1.19,1,54.0,1,4,0,12000,"
ул. Смилянская, 10/31, Киев
"
2.87,3,120.0,3,4,0,62500,"
ул. Лейпцигская, 13, Киев
"
1.19,1,100.0,3,11,0,20500,"
ул. Клиническая, 23/25, Киев
"
1.74,3,51.0,1,11,1,14000,"
ул. Сикорского Игоря (Танковая), 1, Киев
"
1.53,3,80.0,2,11,1,54300,"
ул. Саксаганского, 37к, Киев
"
1.74,1,42.0,2,9,1,13200,"
ул. Тираспольская, 58, Киев
"
1.53,1,50.0,1,3,0,29900,"
ул. Димитрова (Деснянский), 22, Киев
"
2.87,1,43.0,1,2,0,23000,"
ул. Джона Маккейна (Кудри Ивана), Киев
"
1.0,1,42.0,1,13,0,6000,"
ул. Бальзака Оноре де, 63, Киев
"
1.74,1,60.0,2,2,0,12500,"
ул. Багговутовская, 32, Киев
"
1.22,1,33.0,1,9,0,10000,"
ул. Иорданская (Гавро Лайоша), 22б, Киев
"
1.53,1,63.0,2,2,0,9000,"
ул. Метрологическая, Киев
"
1.19,1,34.0,1,4,0,7500,"
ул. Героев Севастополя, 9, Киев
"
1.22,3,210.0,4,2,0,43500,"
ул. Тимошенко Маршала, 29, Киев
"
1.22,1,125.0,3,4,0,32600,"
Героев Сталинграда просп., 4, Киев
"
1.22,3,84.0,2,4,0,19500,"
Героев Сталинграда просп., 43в, Киев
"
1.22,3,100.0,3,4,0,20000,"
Героев Сталинграда просп., 14б, Киев
"
1.22,3,65.0,2,4,0,15000,"
ул. Тимошенко Маршала, 13а, Киев
"
1.22,3,50.0,2,4,0,15500,"
ул. Иорданская (Гавро Лайоша), 24, Киев
"
1.22,3,100.0,3,4,0,20000,"
Героев Сталинграда просп., 14б, Киев
"
1.74,3,58.0,1,4,1,19000,"
ул. Кирилло-Мефодиевская, 2, Киев
"
1.19,1,48.0,2,8,0,8000,"
ул. Днестровская, Киев
"
1.0,1,72.0,2,17,1,11500,"
ул. Закревского Николая, 95г, Киев
"
1.18,3,34.0,1,4,0,7000,"
ул. Львовская, 51, Киев
"
1.22,3,130.0,3,4,0,38000,"
Героев Сталинграда просп., 12д, Киев
"
1.19,1,45.0,2,4,0,11000,"
ул. Липкивского Василия (Урицкого), 41, Киев
"
1.22,1,68.0,3,4,0,14000,"
ул. Приречная, 17г, Киев
"
1.22,1,46.0,2,4,0,12500,"
ул. Архипенко Александра (Мате Залки), 5а, Киев
"
1.53,3,84.0,2,4,1,25000,"
ул. Голосеевская, 13а, Киев
"
1.53,1,52.0,1,4,0,11000,"
Глушкова Академика просп., 9в, Киев
"
1.74,3,70.0,3,4,0,40800,"
ул. Пирогова, 2, Киев
"
2.87,3,45.0,2,4,1,24500,"
ул. Предславинская, 55, Киев
"
1.53,3,46.0,2,4,0,18800,"
ул. Малевича Казимира (Боженко), 48, Киев
"
1.74,3,50.0,2,4,0,13000,"
ул. Дегтяревская, 26б, Киев
"
1.29,3,70.0,2,4,0,35300,"
ул. Воздвиженская, 48, Киев
"
2.87,3,40.0,1,4,1,17000,"
ул. Предславинская, 55а, Киев
"
2.87,3,53.0,2,4,1,29900,"
ул. Предславинская, 55а, Киев
"
2.87,3,46.0,2,4,1,27200,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.74,3,170.0,4,4,1,136000,"
ул. Пирогова, 2/37б, Киев
"
2.87,3,126.0,3,4,1,101000,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
1.53,3,69.0,2,4,1,31200,"
Голосеевский проспект (40-летия Октября просп.), 60, Киев
"
2.87,3,55.0,2,4,1,32600,"
ул. Коновальца Евгения (Щорса), 34а, Киев
"
2.87,3,90.0,3,4,1,46200,"
ул. Коновальца Евгения (Щорса), 34а, Киев
"
1.53,3,42.0,1,4,0,12000,"
ул. Ломоносова, 8, Киев
"
2.87,3,36.0,1,4,1,22000,"
Леси Украинки бульв., 7в, Киев
"
2.87,3,56.0,2,4,0,15000,"
Госпитальный пер., 1а, Киев
"
1.0,1,40.0,1,4,0,7000,"
ул. Цветаевой Марины, 16а, Киев
"
1.53,3,82.0,2,4,1,48900,"
ул. Саксаганского, 37к, Киев
"
1.12,3,41.0,1,4,1,11500,"
ул. Гмыри Бориса, 14б, Киев
"
1.22,1,62.0,2,4,1,22000,"
Героев Сталинграда просп., 2д, Киев
"
2.87,3,65.0,2,4,1,54300,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
2.87,3,80.0,3,4,1,40800,"
ул. Предславинская, 55, Киев
"
2.87,3,72.0,3,4,1,46200,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.74,3,70.0,3,4,0,32600,"
ул. Леонтовича, 5, Киев
"
1.74,1,52.0,2,4,1,17000,"
ул. Черновола Вячеслава, 27, Киев
"
1.19,3,55.0,1,4,0,19500,"
ул. Никольско-Слободская, 3а, Киев
"
2.87,3,117.0,3,4,0,35300,"
Леси Украинки бульв., 21б, Киев
"
1.53,3,65.0,2,4,1,38000,"
ул. Саксаганского, 37к, Киев
"
2.87,3,90.0,3,4,0,27000,"
ул. Дарвина, 5, Киев
"
1.29,3,106.0,3,4,0,27200,"
ул. Туровская, 29, Киев
"
2.87,3,65.0,2,4,1,38000,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
2.87,3,97.0,2,4,1,27200,"
Леси Украинки бульв., 7а, Киев
"
1.12,3,85.0,2,4,0,15000,"
ул. Гмыри Бориса, 2, Киев
"
1.74,1,38.0,1,4,0,21500,"
ул. Сечевых Стрельцов (Артема), 44а, Киев
"
