district,metro,area,rooms,floor,gk,price,adress
2.87,3.0,30.0,1,7.0,0,11000.0,"Кловский спуск, 20, Печерский р-н"
1.74,3.0,100.0,3,11.0,1,27500.0,"Жилянская ул., 118, Шевченковский р-н"
2.87,3.0,120.0,3,5.0,1,90750.0,"Драгомирова ул., 20, Печерский р-н"
1.74,3.0,45.0,1,2.0,0,21000.0,"Вячеслава Липинского, 1/16, Шевченковский р-н"
1.74,3.0,90.0,3,10.0,0,27500.0,"Тургеневская ул., 29-33, Шевченковский р-н"
2.87,3.0,51.0,1,18.0,0,30250.0,"Василия Тютюнника ул. (Барбюса Анри), 28а, Печерский р-н"
2.87,3.0,96.0,2,10.0,0,35750.0,"Михаила Омеляновича-Павленка ул. (Суворова), Печерский р-н"
1.53,1.0,30.0,1,3.0,0,8000.0,"Науки просп., 74к2, Голосеевский р-н"
1.74,3.0,90.0,3,2.0,0,68750.0,"Липинского , 3, Шевченковский р-н"
1.18,1.0,34.0,1,6.0,0,7000.0,"Киприанова академика ул., 4, Святошинский р-н"
2.87,3.0,56.0,2,4.0,0,16000.0,"Неманская ул., 4, Печерский р-н"
1.19,1.0,46.4,2,3.0,0,14000.0,"Владимира Брожко , 70, Соломенский р-н"
1.74,3.0,22.0,1,2.0,0,7500.0,"Шолуденко ул., 31 А, Шевченковский р-н"
1.0,1.0,92.0,3,6.0,0,12000.0,"Радунская ул., 11а, Деснянский р-н"
1.74,3.0,200.0,5,7.0,0,55000.0,"Дмитриевская ул., 9-11, Шевченковский р-н"
1.19,1.0,150.0,3,6.0,0,63250.0,"Окипной Раисы ул., 18, Днепровский р-н"
1.0,1.0,43.0,1,9.0,0,8000.0,"Лаврухина Николая ул., 5, Деснянский р-н"
1.53,3.0,60.0,1,12.0,0,33000.0,"Голосеевский просп. (40-летия Октября), 60, Голосеевский р-н"
1.29,1.0,45.0,2,2.0,0,7000.0,"Ивана Выговского ул. (Гречко маршала), 12г, Подольский р-н"
1.53,3.0,85.0,2,12.0,0,41250.0,"Саксаганского, 37к, Голосеевский р-н"
2.87,3.0,90.0,2,12.0,1,60500.0,"Евгения Коновальца ул. (Щорса), 34а, Печерский р-н"
1.12,3.0,72.0,3,1.0,0,12990.0,"Вишняковская ул., 8а, Дарницкий р-н"
1.0,1.0,58.0,2,8.0,0,5990.0,"Каштановая ул., 13, Деснянский р-н"
1.0,1.0,34.0,1,5.0,0,6990.0,"Закревского Николая ул., 85а, Деснянский р-н"
1.0,1.0,93.0,3,6.0,0,12000.0,"Радунская ул., 11а, Деснянский р-н"
1.18,1.0,55.0,1,10.0,0,10500.0,"Святошинская пл., 1Б, Святошинский р-н"
2.87,3.0,65.0,2,4.0,0,35000.0,"Большая Васильковская ул. (Красноармейская), 92, Печерский р-н"
1.74,3.0,65.0,3,5.0,0,46750.0,"Хмельницкого Богдана ул., 9, Шевченковский р-н"
1.74,3.0,180.0,4,9.0,0,110000.0,"Пирогова ул., 2/37б, Шевченковский р-н"
1.53,3.0,85.0,2,12.0,0,41250.0,"Саксаганського , 37К, Голосеевский р-н"
1.53,3.0,65.0,2,8.0,1,35750.0,"Саксаганського, 37к, Голосеевский р-н"
1.53,3.0,88.0,3,14.0,0,77000.0,"Антоновича ул. (Горького), 44, Голосеевский р-н"
2.87,3.0,52.0,1,5.0,0,22000.0,"Иоанна Павла II ул. (Лумумбы Патриса), 11, Печерский р-н"
1.53,3.0,85.0,3,5.0,0,49472.5,"Саксаганського , 37К, Голосеевский р-н"
2.87,3.0,85.0,2,18.0,1,60500.0,"Леси Украинки бульв., 7в, Печерский р-н"
1.53,3.0,67.0,2,7.0,1,39875.0,"Саксаганського , 37к, Голосеевский р-н"
1.53,3.0,85.0,3,27.0,0,68750.0,"Саксаганського, 37К, Голосеевский р-н"
1.74,3.0,105.0,3,3.0,0,68750.0,"Владимира Винниченко ул. (Коцюбинского Юрия), 12, Шевченковский р-н"
2.87,3.0,170.0,3,10.0,0,44000.0,"Лескова ул., 1А, Печерский р-н"
2.87,3.0,85.0,2,7.0,0,63250.0,"Драгомирова ул., 15, Печерский р-н"
2.87,3.0,128.0,3,6.0,0,63250.0,"Лейпцигская ул., 13а, Печерский р-н"
2.87,3.0,58.0,2,3.0,1,27500.0,"Джона Маккейна ул. (Кудри Ивана), 26, Печерский р-н"
1.29,1.0,54.0,2,5.0,1,23375.0,"Набережно-Рыбальская дорога ул., 3, Подольский р-н"
1.53,3.0,83.0,3,5.0,0,19500.0,"Большая Васильковская ул. (Красноармейская), 134, Голосеевский р-н"
1.53,3.0,30.0,1,2.0,0,11000.0,"Бурмистенко ул., 6 к.2, Голосеевский р-н"
2.87,3.0,157.0,3,19.0,1,45375.0,"Евгения Коновальца ул. (Щорса), 44А, Печерский р-н"
2.87,3.0,48.0,1,5.0,0,20625.0,"Джона Маккейна ул. (Кудри Ивана), 35Б, Печерский р-н"
1.19,1.0,32.0,1,1.0,0,6500.0,"Искровская ул., Соломенский р-н"
1.0,1.0,66.0,2,7.0,0,11000.0,"Лесной просп., 35, Деснянский р-н"
1.74,3.0,135.0,4,4.0,0,52250.0,"Полтавская ул., 10, Шевченковский р-н"
1.74,3.0,58.0,1,2.0,0,42625.0,"Гончара Олеся ул., 12, Шевченковский р-н"
2.87,3.0,55.0,2,6.0,0,35750.0,"Мазепы Ивана ул. (Январского Восстания), 3, Печерский р-н"
1.74,3.0,47.0,1,4.0,0,31625.0,"Победы просп., 42, Шевченковский р-н"
1.53,3.0,39.0,1,8.0,0,9000.0,"Лобановского просп. (Краснозвездный), 130, Голосеевский р-н"
1.0,1.0,43.0,1,5.0,0,7500.0,"Лисковская ул., 18в, Деснянский р-н"
1.74,3.0,120.0,4,3.0,0,41250.0,"пер.тараса шевченко, 13, Шевченковский р-н"
1.74,3.0,34.0,1,8.0,0,11000.0,"Гетьмана Вадима, 24, Шевченковский р-н"
1.53,1.0,75.0,2,7.0,0,24750.0,"Коломиевский пер., 17/31, Голосеевский р-н"
1.22,3.0,80.0,2,15.0,0,18000.0,"Героев Сталинграда просп., 14г, Оболонский р-н"
1.74,3.0,52.0,2,2.0,0,9000.0,"Дегтяровская, 60, Шевченковский р-н"
1.53,1.0,67.0,2,14.0,0,16000.0,"Ломоносова ул., 46/1, Голосеевский р-н"
1.74,3.0,86.0,2,27.0,1,54000.0,"Жилянская ул., 118, Шевченковский р-н"
1.74,3.0,76.0,2,12.0,0,41250.0,"Глубочицкая ул., 32-А, Шевченковский р-н"
1.29,3.0,83.0,3,2.0,0,55000.0,"Воздвиженская ул., 16-Б, Подольский р-н"
1.19,2.0,48.0,2,1.0,0,6000.0,"Братиславская, 20, Днепровский р-н"
1.22,3.0,90.0,2,8.0,0,19990.0,"Героев Сталинграда просп., 47а, Оболонский р-н"
1.22,3.0,126.0,3,8.0,0,49500.0,"Оболонская наб., 3корп.3, Оболонский р-н"
1.19,2.0,85.0,2,17.0,0,41250.0,"Липковского Василия ул. (Урицкого), 18, Соломенский р-н"
1.53,1.0,75.0,2,8.0,1,23375.0,"Симоненка ул., 5а, Голосеевский р-н"
1.12,2.0,45.0,2,18.0,1,17000.0,"Днепровская наб., 16-Г, Дарницкий р-н"
1.12,3.0,40.0,1,16.0,0,12000.0,"Бориса Гмыри ул., 16, Дарницкий р-н"
2.87,3.0,90.0,3,2.0,0,27500.0,"Заньковецкой ул., 8, Печерский р-н"
1.74,3.0,82.0,3,2.0,0,27000.0,"Ярославов Вал ул., 28, Шевченковский р-н"
1.19,1.0,100.0,3,7.0,0,12000.0,"Новгородская ул., 3, Соломенский р-н"
1.74,3.0,32.0,1,5.0,0,16000.0,"Костельная ул., 10, Шевченковский р-н"
1.29,1.0,65.0,3,4.0,0,23000.0,"Ярославская ул., 39, Подольский р-н"
1.74,3.0,140.0,3,4.0,1,82500.0,"Глубочицкая ул., 32а, Шевченковский р-н"
1.53,1.0,73.0,2,11.0,1,19000.0,"Вильямса академика ул., 19/14, Голосеевский р-н"
1.74,3.0,65.0,2,5.0,0,33000.0,"Бульварно-Кудрявская, 21, Шевченковский р-н"
1.12,3.0,67.0,2,2.0,0,12000.0,"Вишняковская ул., 13б, Дарницкий р-н"
1.12,1.0,40.0,1,18.0,0,14000.0,"Чавдар Елизаветы ул., 38б, Дарницкий р-н"
1.53,3.0,80.0,2,12.0,1,35750.0,"Казимира Малевича ул. (Боженко), 89, Голосеевский р-н"
1.12,1.0,68.0,2,2.0,0,13000.0,"Вишняковская ул., 7б, Дарницкий р-н"
1.22,3.0,43.0,2,8.0,0,15000.0,"Оболонский просп., 16а, Оболонский р-н"
1.29,1.0,46.0,2,5.0,0,9000.0,"Свободы просп., 28а, Подольский р-н"
1.74,3.0,46.0,2,4.0,0,10000.0,"Виговского, 8б, Шевченковский р-н"
1.74,3.0,90.0,3,17.0,0,19000.0,"Дмитриевская ул., 82, Шевченковский р-н"
1.74,3.0,72.0,3,7.0,0,17500.0,"Ярмолы Виктора ул., 28.32, Шевченковский р-н"
2.87,3.0,59.0,3,2.0,0,17000.0,"Леси Украинки бульв., 19, Печерский р-н"
1.18,2.0,55.0,2,7.0,0,10000.0,"Депутатская ул., 30, Святошинский р-н"
1.18,3.0,24.0,1,7.0,0,6900.0,"Зодчих ул., 80, Святошинский р-н"
1.53,3.0,50.0,1,3.0,0,30250.0,"Деловая ул., 22, Голосеевский р-н"
2.87,3.0,125.0,3,19.0,0,68750.0,"Евгения Коновальца ул. (Щорса), 34А, Печерский р-н"
1.19,3.0,39.0,1,24.0,0,12500.0,"Каховская ул., 60, Днепровский р-н"
1.18,1.0,55.0,1,4.0,0,9000.0,"Леся Курбаса просп. (50-летия Октября), 5, Святошинский р-н"
1.74,3.0,33.0,1,7.0,0,7500.0,"Делегатский пер., 2, Шевченковский р-н"
1.19,1.0,48.0,2,4.0,0,9000.0,"Серова Валентина ул., 28, Днепровский р-н"
1.29,1.0,40.0,1,5.0,0,6800.0,"Ужвий Наталии ул., 5, Подольский р-н"
1.12,1.0,50.0,1,10.0,0,10000.0,"Бажана Николая просп., 1м, Дарницкий р-н"
1.12,3.0,41.0,1,17.0,1,14000.0,"Ревуцкого ул., 40в, Дарницкий р-н"
1.22,1.0,55.0,2,1.0,0,11000.0,"Героев Сталинграда просп., 39, Оболонский р-н"
1.29,3.0,43.0,1,6.0,1,13500.0,"Тираспольская ул., 60, Подольский р-н"
1.22,3.0,100.0,3,25.0,1,41250.0,"Оболонский просп., 1, Оболонский р-н"
2.87,3.0,190.0,4,11.0,1,206250.0,"Драгомирова ул., 69, Печерский р-н"
2.87,3.0,63.0,2,6.0,1,49500.0,"Драгомирова ул., 15а, Печерский р-н"
